Date,IBM,AAPL,MSFT,INTC,HPQ
1996-07-31,20.191317,0.719341,5.036132,6.549914,5.800568
1996-08-01,20.14436,0.694818,5.153621,6.713393,5.76761
1996-08-02,20.449578,0.70708,5.271116,6.86597,5.965356
1996-08-05,20.520012,0.686644,5.20169,6.811475,5.882962
1996-08-06,20.590447,0.702993,5.297817,6.964059,5.817046
1996-08-07,21.22168,0.731603,5.329863,7.180659,6.06423
1996-08-08,21.386554,0.723429,5.351219,7.040344,6.080709
1996-08-09,21.174573,0.756126,5.319179,7.182026,5.998314
1996-08-12,21.127466,0.752039,5.351219,7.160223,5.899441
1996-08-13,20.60929,0.73569,5.276455,6.996751,5.76761
1996-08-14,20.962592,0.743864,5.335202,7.127531,5.734652
1996-08-15,20.891931,0.727516,5.34588,7.127531,5.273243
1996-08-16,20.727057,0.73569,5.308495,7.062141,5.520427
1996-08-19,20.727057,0.772475,5.276455,7.040344,5.635779
1996-08-20,20.821271,0.768387,5.271116,6.931361,5.602821
1996-08-21,21.15102,0.752039,5.276455,6.996751,5.520427
1996-08-22,21.22168,0.760213,5.340541,7.236515,5.668737
1996-08-23,21.29234,0.780649,5.26577,7.116629,5.751131
1996-08-26,21.198126,0.788823,5.249754,7.083938,5.91592
1996-08-27,21.056806,0.812833,5.329863,7.105734,5.965356
1996-08-28,21.669196,0.813346,5.367242,7.083938,5.998314
1996-08-29,21.692749,0.801085,5.303156,7.094839,5.866483
1996-08-30,21.551429,0.79291,5.23373,6.958604,5.76761
1996-09-03,21.716303,0.788823,5.271116,7.116629,5.882962
1996-09-04,21.598536,0.788823,5.271116,7.171125,5.833525
1996-09-05,21.315894,0.747952,5.191006,7.029443,5.668737
1996-09-06,21.76341,0.752039,5.23373,7.083938,5.751131
1996-09-09,22.163819,0.719341,5.335202,7.280108,5.784089
1996-09-10,22.258033,0.702993,5.31384,7.350946,5.833525
1996-09-11,22.234479,0.690731,5.34588,7.410889,5.784089
1996-09-12,22.093158,0.666208,5.495415,7.443587,5.866483
1996-09-13,23.011744,0.686644,5.596887,7.683344,6.146624
1996-09-16,23.129511,0.731603,5.618249,7.726938,6.36085
1996-09-17,23.294386,0.752039,5.719722,8.217368,6.393807
1996-09-18,23.45926,0.768387,5.831871,8.337246,6.36085
1996-09-19,23.270832,0.7643,5.88528,8.457132,6.36085
1996-09-20,23.176618,0.747952,5.901296,8.48983,6.459723
1996-09-23,23.412153,0.731603,5.88528,8.348148,6.359947
1996-09-24,23.3886,0.73569,5.847895,8.413538,6.392986
1996-09-25,23.836116,0.731603,5.794485,8.478928,6.376467
1996-09-26,23.435707,0.731603,5.639612,8.48983,6.211273
1996-09-27,23.506367,0.729559,5.741084,8.446237,6.29387
1996-09-30,23.45926,0.725472,5.634273,8.320904,6.442544
1996-10-01,23.317939,0.805172,5.64495,8.348148,6.326909
1996-10-02,23.718348,0.772475,5.757107,8.631506,6.079119
